他感冒了。	tā gǎn mào le。	He caught a cold.
大多数蜜蜂和黄蜂都是群居昆虫。	dà duō shù mì fēng huò huáng fēng dōu shì qún jū kūn chóng。	Most bees and wasps are social insects.
湿杯子在桌面上留下一个痕迹。	shī bēi zi zài zhuō miàn shàng liú xià yī gè hén jī。	The wet glass left a mark on the surface of the table.
吃早饭时，做稀粥是很方便的。	jí zǎo fàn shí， zuò xī zhōu shì hěn fāng biàn de。	Gruel is convenient to make in the morning for breakfast.
如果你被捕，你有权保持沉默。	rú guǒ nǐ bèi bǔ， nǐ yǒu quán bǎo chí chén mò。	If you are arrested you have the right to remain silent.
他为了自己的革命原则而蒙受苦难。	tā wèi le zì jǐ de gé mìng yuán zé ér méng shòu kǔ nàn。	He suffered for his revolutionary principles.
他斜坡滑雪的技能使我们赞叹不已.	tā xié pō huá xuě de jì néng shǐ wǒ men zàn tàn bù yǐ.	We were amazed at his expertise on the ski slopes.
那老人好容易喘著气说出几句话。	nà lǎo rén hào róng yì chuǎn著 qì shuō chū jǐ jù huà。	The old man manage to puff out a few words.
因矿井已关闭, 镇上一片死气沉沉.	yīn kuàng jǐng yǐ guān bì,  zhèn shàng yī piàn sǐ qì chén chén.	The town is dead now the mine has closed.
这条路把所有的新城镇都连接起来了。	zhè tiáo lù bǎ suǒ yǒu de xīn chéng zhèn dōu lián jiē qǐ lai le。	The road links all the new towns.
这个运动员具有惊人的爆发速度。	zhè gè yùn dòng yuán jù yǒu jīng rén de bào fā sù dù。	The athlete has an electrifying burst of speed.
政府决心把通货膨胀率降低。	zhèng fǔ jué xīn bǎ tōng huò péng zhàng shuài jiàng dī。	The government is determined to bring down inflation.
他的家乡在北回归线的北面。	tā de jiā xiāng zài běi huí guī xiàn de běi miàn。	His hometown is located in the north to the tropic of cancer.
他继承了那片庄园及其一切特权.	tā jí chéng le nà piàn zhuāng yuán jí qí yī qiè tè quán.	He inherited the manor and all its appurtenances.
耐心结合勤奋是成功所必需的。	nài xīn jié hé qín fèn shì chéng gōng suǒ bì xū de。	Patience combined with diligence is necessary to success.
我得在黑暗中摸索著找电灯开关.	wǒ de zài hēi àn zhòng mō suo著 zhǎo diàn dēng kāi guān.	I had to feel about in the dark for the light switch.
他一记有力的左手拳将对手击倒.	tā yī jì yǒu lì de zuǒ shǒu quán jiàng duì shǒu jí dǎo.	He knocked down his opponent with a powerful left.
要鼓励消费者对劣质商品投诉.	yào gǔ lì xiāo fèi zhě duì liè zhì shāng pǐn tóu sù.	Consumers are encouraged to complain about faulty goods.
人们不会忘记他统治时期的暴行。	rén men bù huì wàng jì tā tǒng zhì shí qī de bào xíng。	People will remember the tyrannies of his reign.
隔壁房间里突然爆发出一阵笑声。	gé bì fáng jiān lǐ tū rán bào fā chū yī zhèn xiào shēng。	There was a burst of laughter in the next room.
他超过了同时期的所有其他作曲家。	tā chāo guò le tóng shí qī de suǒ yǒu qí tā zuò qǔ jiā。	He excels all other composers of his period.
他穿著厚实的大衣以抵御严寒.	tā chuān著 hòu shí de dà yī yǐ dǐ yù yán hán.	He wore a thick overcoat as a protection against the bitter cold.
不断增加的失业引起了社会骚乱。	bù duàn zēng jiā de shī yè yǐn qǐ le shè huì sāo luàn。	The increasing unemployment caused social unrest.
这个男孩正在接受心脏病治疗。	zhè gè nán hái zhèng zài jiē shòu xīn zàng bìng zhì liáo。	This boy is being treated for a heart condition.
他点燃一支香烟，镇定一下情绪。	tā diǎn rán yī zhī xiāng yān， zhèn dìng yī xià qíng xù。	He lit a cigarette in order to calm his mind.
他对所谓的流行歌曲很感兴趣。	tā duì suǒ wèi de liú xíng gē qǔ hěn gǎn xìng qu。	He is very interested in what are called popular songs.
我们都沉浸在春节的欢乐之中。	wǒ men dōu chén jìn zài chūn jié de huān lè zhī zhōng。	We all immersed in the gaiety of the Spring Festival.
一支孤烛使黑暗的房间亮了起来。	yī zhī gū zhú shǐ hēi àn de fáng jiān liàng le qǐ lai。	A solitary candle lightened the darkness of the room.
带动转盘旋转的机械装置坏了.	dài dòng zhuàn pán xuán zhuàn de jī xiè zhuāng zhì huài le.	The mechanism that revolves the turntable is broken.
一组护士协助医生施行手术。	yī zǔ hù shi xié zhù yī shēng shī xíng shǒu shù。	A team of nurses assisted the doctor in performing the operation.
这是五镑的钞票--零钱不用找了.	zhè shì wǔ bàng de chāo piào-- líng qián bù yòng zhǎo le.	Here's a five-pound note -- you can keep the change.
她单凭个人气势就镇住了会场。	tā shàn píng gè rén qì shì jiù zhèn zhù le huì chǎng。	She dominated the meeting by sheer force of character.
碰巧在附近有个公用电话亭。	pèng qiǎo zài fù jìn yǒu gè gōng yòng diàn huà tíng。	It happened that there was a telephone booth nearby.
市外公路上有一处很陡的上坡路。	shì wài gōng lù shang yǒu yī chù hěn dǒu de shàng pō lù。	There was a steep climb on the road out of town.
炮火掩护步兵前进.	pào huǒ yǎn hù bù bīng qián jìn.	Artillery gave cover (ie fired at the enemy to stop them firing back) while the infantry advanced.
有很多因素妨碍了我们实现计画.	yǒu hěn duō yīn sù fáng ài le wǒ men shí xiàn jì huà.	Many factors militated against the success of our plan.
那些年国际事态不很协调。	nà xiē nián guó jì shì tài bù hěn xié tiáo。	There was not much harmony in international affairs during those years.
图上交错的树枝看起来很有诗意。	tú shàng jiāo cuò de shù zhī kàn qǐ lai hěn yǒu shī yì。	The interlacing branches on the picture look poetic.
他拣起信封时，一把钥匙掉了出来。	tā jiǎn qǐ xìn fēng shí， yī bǎ yào shi diào le chū lai。	As he picked up the envelope, a key dropped out.
叙述清楚比语言优美更重要。	xù shù qīng chu bì yǔ yán yōu měi gèng zhòng yào。	Clearness of statement is more important than beauty of language.
这场辩论逐渐变成了激烈的争吵.	zhè chǎng biàn lùn zhú jiàn biàn chéng le jī liè de zhēng chǎo.	The argument developed into a bitter quarrel.
他只是偶尔一次公开自己的观点。	tā zhǐ shì ǒu ěr yī cì gōng kāi zì jǐ de guān diǎn。	Only rarely does he let his own views become public.
他发出一声绝望的叹息，转身走开了。	tā fā chū yī shēng jué wàng de tàn xí， zhuǎn shēn zǒu kāi le。	With a hopeless sigh, he turned away.
水在穿透岩石的过程中获得了净化.	shuǐ zài chuān tòu yán shí de guò chéng zhòng huò dé le jìng huà.	Water is purified by passing through rock.
铁路模型展销会将于星期五举行。	tiě lù mó xíng zhǎn xiāo kuài jiàng yú xīng qī wǔ jǔ xíng。	A model railway mart will be held on Friday.
出售枪支受到许多法律限制。	chū shòu qiāng zhī shòu dào xǔ duō fǎ lu:4 xiàn zhì。	The sale of firearms is subject to many legal restrictions.
使我惊讶的是，他又犯了同样的错误。	shǐ wǒ jīng yà de shì， tā yòu fàn le tóng yàng de cuò wù。	To my dismay, he made the same mistakes.
他因遭蛇咬而被送到医院治疗。	tā yīn zāo shé yǎo ér bèi sòng dào yī yuàn zhì liáo。	He was taken to the hospital to be treated for snake bite.
展览会上陈列著所有的新产品。	zhǎn lǎn huì shàng chén liè著 suǒ yǒu de xīn chǎn pǐn。	All the new products are on show at the exhibition.
圣诞节期间生意一向很好.	Shèng dàn jié qī jiān shēng yi yí xiàng hěn hǎo.	Trade is always good (ie Many goods are sold) over the Christmas period.
耐心结合勤奋是成功所必需的。	nài xīn jié hé qín fèn shì chéng gōng suǒ bì xū de。	Patience combined with diligence is necessary to success.
他因遭蛇咬而被送到医院治疗。	tā yīn zāo shé yǎo ér bèi sòng dào yī yuàn zhì liáo。	He was taken to the hospital to be treated for snake bite.
银行随时兑换见票即付的汇票。	yín háng suí shí duì huàn xiàn piào jí fù de huì piào。	The bank receives drafts payable at sight at any time.
那女孩随时都准备着去参加聚会。	nà nu:3 hái suí shí dōu zhǔn bèi zhuó qù cān jiā jù huì。	The girl is ready at all times to go to parties.
那座大山的轮廓看上去像一条龙。	nà zuò dà shān de lún kuò kàn shàng qù xiàng yī tiáo lóng。	The contour of that mountain looks like a dragon.
鉴于税务原因，我们得组成公司。	jiàn yú shuì wù yuán yīn， wǒ men de zǔ chéng gōng sī。	We had to incorporate for a company for tax reasons.
这个港口每年货物吞吐量达1亿吨.	zhè gè gǎng kǒu měi nián huò wù tūn tǔ liàng dá1 yì dùn.	This port handles 100 million tons of cargo each year.
寒冷的天气终于在三月末结束了。	hán lěng de tiān qì zhōng yú zài sān yuè mò jié shù le。	The cold weather at last broke at the end of March.
这座山向北的一面几乎是垂直的。	zhè zuò shān xiàng běi de yī miàn jī hū shì chuí zhí de。	The northern face of the mountain is almost vertical.
我们头顶上的天花板上吊著一盏灯.	wǒ men tou dǐng shàng de tiān huā bǎn shàng diào著 yī zhǎn dēng.	A lamp was suspended from the ceiling above us.
在我们家里，丈夫和我都挣工资。	zài wǒ men jiā lǐ， zhàng fu huò wǒ dōu zhèng gōng zī。	In our family both my husband and I are wage earners.
我偶尔喝杯咖啡, 但平常都喝茶.	wǒ ǒu ěr hè bēi kā fēi,  dàn píng cháng dōu hè chá.	I drink an occasional cup of coffee; but usually I take tea.
登记出生或死亡的手续很简单.	dēng jì chū shēng huò sǐ wáng de shǒu xù hěn jiǎn dān.	Registering a birth or death is a straightforward procedure.
对罪犯的改造有了明显的效果。	duì zuì fàn de gǎi zào yǒu le míng xiǎn de xiào guǒ。	The reformation of criminals has produced an obvious result.
奥运会期间，旅馆房间很难找。	Aò yùn huì qī jiān， lu:3 guǎn fáng jiān hěn nàn zhǎo。	Hotel accommodation was scarce during the Olympic Games.
他不听母亲的劝告，参加了那次聚会。	tā bù tìng mǔ qīn de quàn gào， cān jiā le nà cì jù huì。	He disobeyed his mother and went to the party.
登圣母峰绝不是一次轻松的旅途。	dēng shèng mǔ fēng jué bù shì yī cì qīng sōng de lu:3 tú。	Climbing Mt. Everest is anything but a pleasure trip.
我把石头搬起来时，那只甲虫跑了。	wǒ bǎ shí tou bān qǐ lai shí， nà zhǐ jiǎ chóng pǎo le。	The beetle scuttled away when I lifted the stone.
即使我们富裕了也仍应该厉行节约。	jí shǐ wǒ men fù yù le yě réng yīng gāi lì xìng jié yuē。	We should practice economy even if we are rich.
她的儿子死去时，她悲伤得几乎疯了。	tā de ér zi sǐ qù shí， tā bēi shāng de jī hū fēng le。	She was almost mad with grief when her son died.
他发挥艺术天才, 成了雕刻家.	tā fā huī yì shù tiān cái,  chéng le diāo kè jiā.	He turned his artistic gifts to good account by becoming a sculptor.
家庭小商业遭到大公司的吞并.	jiā tíng xiǎo shāng yè zāo dào dà gōng sī de tūn bìng.	Small family businesses are often gobbled up by larger firms.
大声叫嚷的孩子听不到妈妈的叫唤。	dà shēng jiào rǎng de hái zi tìng bù dào mā ma de jiào huan。	The shouting boy did not hear his mother call him.
在一阵痛恨的狂乱中，他杀死了敌人。	zài yī zhèn tòng hèn de kuáng luàn zhòng， tā shā sǐ le dí rén。	In a frenzy of hate he killed his enemy.
他们是彼此争夺第一名的老对手。	tā men shì bǐ cǐ zhēng duó dì yī míng de lǎo duì shǒu。	They are old rivals vying with each other for first place.
警方在广场的入口处设置了路障.	jǐng fāng zài guǎng chǎng de rù kǒu chù shè zhì le lù zhàng.	The police barricaded off the entrance to the square.
这个奴隶从未体验过自由的快乐。	zhè gè nú lì zòng wèi tǐ yàn guò zì yóu de kuài lè。	The slave has never experienced the sweetness of freedom.
他有才干能在本行业中首屈一指。	tā yǒu cái gàn néng zài běn háng yè zhòng shǒu qū yī zhǐ。	His ability carried him to the top of his profession.
请仔细核对单子以避免发生错误。	qǐng zǐ xì hé duì dān zi yǐ bì miǎn fā shēng cuò wù。	Please check the list carefully so as to avoid mistakes.
他们钻透了几层岩石以寻找石油.	tā men zuàn tòu le jǐ céng yán shí yǐ xún zhǎo shí yóu.	They drilled through several layers of rock to reach the oil.
园艺叉子的一个尖齿把他的脚扎了.	yuán yì chā zi de yī gè jiān chǐ bǎ tā de jué zhá le.	One of the prongs of the garden fork went through his foot.
她只有坐在壁炉前才感觉到暖和。	tā zhǐ yǒu zuò zài bì lú qián cái gǎn jué dào nuǎn huó。	She felt warm only when she sat before the fireplace.
桌子接触墙壁的地方漆皮已剥落。	zhuō zi jiē chù qiáng bì de dì fang qī pí yǐ bō luò。	The paint has chipped off where the table touches the wall.
登圣母峰绝不是一次轻松的旅途。	dēng shèng mǔ fēng jué bù shì yī cì qīng sōng de lu:3 tú。	Climbing Mt. Everest is anything but a pleasure trip.
这位摄影师拍了一张象群的照片。	zhè wèi shè yǐng shī pāi le yī zhāng xiàng qún de zhào piàn。	The photographer took a photo of a herd of elephants.
越狱的逃犯已经再次被警方抓获。	yuè yù de táo fàn yǐ jīng zài cì bèi jǐng fāng zhuā huò。	The escaped convict has been caught by the police again.
恋爱与丑闻，是喝茶的最佳甜点心。	liàn ài yù chǒu wén， shì hè chá de zuì jiā tián diǎn xīn。	Love and scandal are the best sweeteners of tea.
请把面粉和牛奶调至恰当的浓度。	qǐng bǎ miàn fěn huò niú nǎi tiáo zhì qià dàng de nóng dù。	Please mix the flour and milk to the right consistency.
我心情愁闷, 不想和任何人讲话。	wǒ xīn qíng chóu mèn,  bù xiǎng huò rèn hé rén jiǎng huà。	I am out of spirits and don't want to speak to anyone.
他以两杆的成绩赢得了这场高尔夫球赛。	tā yǐ liǎng gǎn de chéng jī yíng dé le zhè chǎng gāo ěr fū qiú sài。	He won the golf match by two shots.
他站在边上等待跳水时浑身发抖.	tā zhàn zài biān shàng děng dài tiào shuǐ shí hún shēn fā dǒu.	He stood shivering on the brink, waiting to dive in.
她把她姓名的起首字母绣在手帕上。	tā bǎ tā xìng míng de qǐ shǒu zì mǔ xiù zài shǒu pà shàng。	She embroidered her initials on the handkerchief.
你的文章只粗略地涉及到这个问题.	nǐ de wén zhāng zhǐ cū lu:è de shè jí dào zhè gè wèn tí.	Your essay gives a rather sketchy treatment of the problem.
奥运会上，他创造了新的世界纪录。	Aò yùn huì shàng， tā chuàng zào le xīn de shì jiè jì lù。	At the Olympic Games, he created a new world record.
这个司机的驾驶执照被警察吊销了。	zhè gè sī jī de jià shǐ zhí zhào bèi jǐng chá diào xiāo le。	The driver's certificate was suspended by the police.
这位法官是监狱改革的坚决拥护者。	zhè wèi fǎ guān shì jiān yù gǎi gé de jiān jué yōng hù zhě。	This judge is a strong advocate of prison reform.
十二宫图用于占星术中预测未来。	shí èr gōng tú yòng yú zhàn xīng zhú zhòng yù cè wèi lái。	The zodiac is used in astrology to predict the future.
那士兵看见一支枪从矮树丛伸出来。	nà shì bīng kàn jiàn yī zhī qiāng zòng ǎi shù cóng shēn chū lái。	The soldier saw a gun jutting out from a bush.
你拿可怜的迈克尔打趣可要出圈儿了.	nǐ ná kě lián de mài kè ěr dǎ qù kě yào chū quān er le.	All your teasing of poor Michael is getting beyond a joke.
我们得把发动机拆卸开来找出毛病。	wǒ men de bǎ fā dòng jī chāi xiè kāi lái zhǎo chū máo bìng。	We'll have to strip the engine down to find the fault.
在死者胃中找到了少量的毒药。	zài sǐ zhě wèi zhòng zhǎo dào le shǎo liàng de dú yào。	Small quantities of poison were detected in the dead man's stomach.
我使尽了浑身解数也劝不动他们.	wǒ shǐ jìn le hún shēn xiè shuò yě quàn bù dòng tā men.	I tried every trick in the book but I still couldn't persuade them.
殖民地人民反抗他们的英国统治者。	zhí mín dì rén mín fǎn kàng tā men de Yīng guó tǒng zhì zhē。	The colonists revolted against their British ruler.
所有参加辩论的人都有机会发言.	suǒ yǒu cān jiā biàn lùn de rén dōu yǒu jī kuài fā yán.	All the participants in the debate had an opportunity to speak.
从右边驶来的车辆享有优先通行权.	zòng yòu biān shǐ lái de chē liàng xiǎng yǒu yōu xiān tōng xíng quán.	Vehicles coming from the right have priority.
他们沿着报春花盛开的河岸边走边聊。	tā men yán zhe bào chūn huā shèng kāi de hé àn biān zǒu biān liáo。	They walked along the primrose bank chatting.
他遭解雇一事, 有关的人都很为难.	tā zāo jiě gù yī shì,  yǒu guān de rén dōu hěn wéi nán.	His dismissal was rather a sticky business for all concerned.
花朵在阳光下清晰地显现出轮廓。	huā duǒ zài yáng guāng xià qīng xī de xiǎn xiàn chū lún kuò。	The flower was clearly outlined in the light of the lamp.
科学家仍在寻求治疗感冒的方法。	kē xué jiā réng zài xún qiú zhì liáo gǎn mào de fāng fǎ。	Scientists are still searching for a cure to the common cold.
我们的狗别看样子凶，其实很温顺。	wǒ men de gǒu biè kàn yàng zi xiōng， qí shí hěn wēn shùn。	Our dog may look fierce but he wouldn't hurt a fly.
我送给她一条编织的披肩作圣诞礼物。	wǒ sòng jǐ tā yī tiáo biān zhī de pī jiān zuò Shèng dàn lǐ wù。	I gave her a knitted shawl as a Christmas gift.
世代居住在城市里使他们磨练了才智。	shì dài jū zhù zài chéng shì lǐ shǐ tā men mò liàn le cái zhì。	Generations of urban living sharpened their wits.
他终生献身于珍稀动物的保护。	tā zhōng shēng xiàn shēn yú zhēn xī dòng wù de bǎo hù。	He's devoted his whole life to the protection of the rare animals.
他使劲儿把食物咽下去, 嘴唇都扭曲起来.	tā shǐ jìn er bǎ shí wù yè xià qu,  zuǐ chún dōu niǔ qū qǐ lai.	His lips worked as he tried to swallow the food.
哪怕失业，我也要遵循自己的原则。	nǎ pà shī yè， wǒ yě yào zūn xún zì jǐ de yuán zé。	I shall stand by my principles even if it means losing my job.
那家商场的西洋梳镜柜看上去很特别。	nà jiā shāng chǎng de xī yáng shū jìng jǔ kàn shàng qù hěn tè bié。	The chiffonier in that shop looks special.
谷物轮种使土壤保持了肥力和高质。	gǔ wù lún zhòng shǐ tǔ rǎng bǎo chí le féi lì huò gāo zhì。	The rotation of crops keeps the soil healthy and fertile.
旅馆中的每个房间都有一个单独浴室。	lu:3 guǎn zhòng dì měi gè fáng jiān dōu yǒu yī gè dān dú yù shì。	Every room in the hotel has a private bathroom.
他公然蔑视上司，并要求他作出解释。	tā gōng rán miè shì shàng si， bìng yāo qiú tā zuò chū jiě shì。	He bearded his boss and demanded an explanation.
必须办妥某些手续方可移居他国.	bì xū bàn tuǒ mǒu xiē shǒu xù fāng kě yí jū tā guó.	Certain formalities have to be gone through before one can emigrate.
音乐的声音太大了，把我耳朵震得直响。	yīn yuè de shēng yīn tài dà le， bǎ wǒ ěr duo zhèn de zhí xiǎng。	The music was so loud it made my ears ring.
谷物轮种使土壤保持了肥力和高质。	gǔ wù lún zhòng shǐ tǔ rǎng bǎo chí le féi lì huò gāo zhì。	The rotation of crops keeps the soil healthy and fertile.
这些珍贵的老虎受到专门法律的保护。	zhè xie zhēn guì de lǎo hǔ shòu dào zhuān mén fǎ lu:4 de bǎo hù。	These rare tigers are protected by special laws.
火箭绕地球运行一周后返回基地。	huǒ jiàn rào dì qiú yùn xíng yī zhōu hòu fǎn huí jī dì。	The rocket did one circuit of the earth and returned to base.
决定大选的日期是首相的特权。	jué dìng dà xuǎn de rì qī shì shǒu xiàng de tè quán。	It's the Prime Minister's prerogative to decide when to call an election.
他驾驶测验不及格，这次算第十次了。	tā jià shǐ cè yàn bù jí gé， zhè cì suàn dì shí cì le。	That makes the tenth time he's failed his driving test!
他闪身躲过了滚落的岩石，安然脱险了。	tā shǎn shēn duǒ guò le gǔn luò de yán shí， ān rán tuō xiǎn le。	He dodged the falling rock and escaped unhurt.
那个计划取消了，这让我们非常惊讶。	nèi gè jì huà qǔ xiāo le， zhè ràng wǒ men fēi cháng jīng yà。	It dismayed us that the project had been canceled.
我肚子上挨了一拳一时完全喘不过气来.	wǒ dù zi shàng ái le yī quán yī shí wán quán chuǎn bù guò qì lái.	The punch in the stomach completely winded me.
猎人把狮子的头挂在墙上当纪念品。	liè rén bǎ shī zi de tou guà zài qiáng shàng dàng jì niàn pǐn。	The hunter put the lion's head on the wall as a trophy.
处于这种可怕的压力之下，不疯才怪呢。	chǔ yú zhè zhǒng kě pà de yā lì zhī xià， bù fēng cái guài ne。	It's hard to stay sane under such awful pressure.
瘦肉上可加咸肉片烤制以保持水分。	shòu ròu shàng kě jiā xián ròu piàn kǎo zhì yǐ bǎo chí shuǐ fèn。	Lean meat can be larded to keep it moist in the oven.
科学知识被滥用于破坏和战争。	kē xué zhī shi bèi làn yòng yú pò huài huò zhàn zhēng。	Scientific knowledge was perverted to help cause destruction and war.
大群的人迅速地在演说者周围聚集起来。	dà qún de rén xùn sù de zài yǎn shuō zhě zhōu wéi jù jí qǐ lai。	A crowd quickly congregated round the speaker.
我们的最终目标是消除所有核武器。	wǒ men de zuì zhōng mù biāo shì xiāo chú suǒ yǒu hé wǔ qì。	Our ultimate objective is the removal of all nuclear weapons.
经分析发现蛋糕里含有微量的毒素。	jīng fēn xī fā xiàn dàn gāo lǐ hán yǒu wēi liàng de dú sù。	The cake on analysis was found to contain traces of toxin.
废除农奴制度后，农奴们获得了解放。	fèi chú nóng nú zhì dù hòu， nóng nú men huò dé liǎo jiě fàng。	The serfs were liberated after abolishing serfdom.
我们决定就工资问题与雇主谈判。	wǒ men jué dìng jiù gōng zī wèn tí yù gù zhǔ tán pàn。	We've decided to negotiate with the employers about our wage claim.
我很匆忙, 所以随便地把衣服穿上了。	wǒ hěn cōng máng,  suǒ yǐ suí biàn de bǎ yī fu chuān shàng le。	I was in such a hurry that I put my clothes on anyhow.
别把热水倒进玻璃杯里，不然它会炸的。	biè bǎ rè shuǐ dào jìn bō li bēi lǐ， bù rán tā kuài zhà de。	Don't pour hot water into the glass or it will crack.
他们因对手权柄在握, 反抗也没用.	tā men yīn duì shǒu quán bǐng zài wò,  fǎn kàng yě méi yòng.	Their opponents had the whip hand and it was useless to resist.
他的话对社区所有成员是故意的侮辱。	tā de huà duì shè qū suǒ yǒu chéng yuán shì gù yì de wǔ rù。	His speech was an affront to all members of the community.
他们因对手权柄在握, 反抗也没用.	tā men yīn duì shǒu quán bǐng zài wò,  fǎn kàng yě méi yòng.	Their opponents had the whip hand and it was useless to resist.
当他跌倒时, 便往一条悬挂的绳子抓去。	dàng tā diē dào shí,  pián wàng yī tiáo xuán guà de shéng zi zhuā qù。	As he fell, he caught hold of a hanging chain.
在运输中要允许有百分之五的损耗量.	zài yùn shū zhòng yào yǔn xǔ yǒu bǎi fēn zhī wǔ de sǔn hào liàng.	You must allow for five per cent wastage in transit.
早餐时总统会见了白宫的高级助手.	zǎo cān shí zǒng tǒng huì jiàn le Bái gōng de gāo jí zhù shǒu.	The President met with senior White House aides at breakfast.
我牙缝里塞了点东西，就是弄不出来。	wǒ yá fèng lǐ sè le diǎn dōng xi， jiù shì nòng bù chū lai。	There is something between my teeth and I can't dislodge it.
他偷偷溜进了电影院而没有被人逮着。	tā tōu tōu liū jìn le diàn yǐng yuàn ér méi yǒu bèi rén dài zhuó。	He stole into the cinema without being caught.
观赏一幅美丽的图画使人心满意足。	guān shǎng yī fú měi lì de tú huà shǐ rén xīn mǎn yì zú。	Looking at a beautiful painting always gives one satisfaction.
他号召工人为争取自己的权利而斗争。	tā hào zhào gōng rén wèi zhēng qǔ zì jǐ de quán lì ér dòu zhēng。	He called on the workers to fight for their rights.
雕刻家把大理石块凿成优美的雕像.	diāo kè jiā bǎ dà lǐ shí kuài zuò chéng yōu měi de diāo xiàng.	The sculptor chiselled the lump of marble into a fine statue.
这件事唤起了他对过去苦难经历的回忆。	zhè jiàn shì huàn qǐ le tā duì guò qu kǔ nàn jīng lì de huí yì。	The incident woke memories of his past sufferings.
父亲终于与大陆上的弟弟联络上了。	fù qīn zhōng yú yù dà lù shàng de dì di lián luò shàng le。	Father finally got in touch with his brother in mainland China.
如果你不把煤气调小一点，肉就要焦了。	rú guǒ nǐ bù bǎ méi qì tiáo xiǎo yī diǎn， ròu jiù yào jiāo le。	The meat will scorch if you don't lower the gas.
该制造业若不现代化就不能继续存在.	gāi zhì zào yè ruò bù xiàn dài huà jiù bù néng jì xù cún zài.	If the industry doesn't modernize it will not survive.
他索赔过高反而使他的要求无法实现。	tā suǒ péi guò gāo fǎn ér shǐ tā de yāo qiú wú fǎ shí xiàn。	He prejudiced his claim by demanding too much compensation.
我们等有空再对这题目展开辩论。	wǒ men děng yǒu kòng zài duì zhè tí mù zhǎn kāi biàn lùn。	We will debate the subject at length later when we are at leisure.
新来的销售部主任大家还不大了解。	xīn lái de xiāo shòu bù zhǔ rèn dà jiā huán bú dà liǎo jiě。	The new sales director is still a bit of an unknown quantity.
他舒展开身体躺在炉火旁边睡著了.	tā shū zhǎn kāi shēn tǐ tǎng zài lú huǒ páng biān shuì著 le.	He stretched (himself) out in front of the fire and fell asleep.
委员会一致同意拒绝这项申请。	wěi yuán huì yī zhì tóng yì jù jué zhè xiàng shēn qǐng。	The committee were unanimous that the application should be turned down.
这件文物，接触空气之后，变成了粉末。	zhè jiàn wén wù， jiē chù kōng qì zhī hòu， biàn chéng le fěn mò。	The relic, when exposed to air, turned to dust.
他的话已在他们心中播下怀疑的种子。	tā de huà yǐ zài tā men xīn zhōng bō xià huái yí de zhǒng zi。	His words had sowed the seeds of suspicion in their minds.
她竭力巴结主任希望得到提升.	tā jié lì bā jié zhǔ rèn xī wàng dé dào tí shēng.	She tried to ingratiateherself with the director, in the hope of getting promotion.
那样调换他的工作等于是解雇了他。	nà yàng diào huàn tā de gōng zuò děng yú shì jiě gù le tā。	Changing his job like that is equivalent to giving him the sack.
这些收音机制造厂的产品打不开销路。	zhè xie shōu yīn jī zhì zào chǎng de chǎn pǐn dǎ bù kāi xiāo lù。	The radios producers could not find a market for them.
他用塑料铲把盆里的混合料刮了出来.	tā yòng sù liào chǎn bǎ pén lǐ de hùn hé liào guā le chū lai.	He scraped the mixture out of the bowl with a plastic spatula.
他叙述了他如何从13岁起就给人扛活。	tā xù shù le tā rú hé zò13ng suì qǐ jiù jǐ rén káng huó。	He related how he had worked as a farm-hand since he was thirteen.
政府正为处理失业问题的另一计画拨款.	zhèng fǔ zhèng wèi chǔ lǐ shī yè wèn tí de lìng yī jì huà bō kuǎn.	The government is funding another unemployment scheme.
最近已经发布了禁止进口毒品的法令。	zuì jìn yǐ jīng fā bù le jìn zhǐ jìn kǒu dú pǐn de fǎ lìng。	A ban on the importation of drugs had been issued recently.
你应该立即申请, 亲自去也好, 写信也好.	nǐ yīng gāi lì jí shēn qǐng,  qīn zì qù yě hào,  xiě xìn yě hào.	You should apply immediately, in person or by letter.
跳伞者大胆的冒险动作令人赞叹不已.	tiào sǎn zhě dà dǎn de mào xiǎn dòng zuò lìng rén zàn tàn bù yǐ.	The daring exploits of the parachutists were much admired.
她举起一根手指放在唇边，示意肃静。	tā jǔ qǐ yī gēn shǒu zhǐ fàng zài chún biān， shì yì sù jìng。	She raised her finger to her lips as a sign for silence.
据说法国人是世界上最好的园丁。	jù shuō fǎ guó rén shì shì jiè shàng zuì hǎo de yuán dīng。	It is said that the Frenchman may be the best gardener in the world.
我可以很清楚地看到灯泡里的细丝断了。	wǒ kě yǐ hěn qīng chu de kàn dào dēng pào lǐ de xì sī duàn le。	I can see clearly that the filament in the bulb is broken.
他未做认真的调查就仓促做出了结论。	tā wèi zuò rèn zhēn de diào chá jiù cāng cù zuò chū le jié lùn。	He jumped to a conclusion without careful investigation.
维多利亚女王的统治持续了六十多年。	wéi Duō lì yà nu:3 wáng de tǒng zhì chí xù le liù shí duō nián。	The reign of Queen Victoria lasted more than sixty years.
防御工事已筑好，准备对付敌人进攻。	fáng yù gōng shì yǐ zhú hào， zhǔn bèi duì fu dí rén jìn gōng。	The defences are kept in readiness for any enemy attack.
看见他的健康情况这样不佳，我很伤心。	kàn jiàn tā de jiàn kāng qíng kuàng zhè yàng bù jiā， wǒ hěn shāng xīn。	It grieves me to see him in such bad health.
甚至在日落之后，气温也不见降低。	shèn zhì zài rì luò zhī hòu， qì wēn yě bù xiàn jiàng dī。	Even after sunset there was little moderation in the temperature.
