桌面	zhuōmiàn	1. desktop;2. tabletop
 好端端	hǎoduānduān	1. perfectly all right;2. without rhyme or reason
 喊叫	hǎnjiào	1. to cry out;2. to shout
 衣	yī	1. clothes;2. CL:件[jian4];3. Kangxi radical 145;4. to dress;5. to wear;6. to put on (clothes)
 爬	pá	1. to crawl;2. to climb;3. to get up or sit up
 嫖妓	piáojì	1. to visit a prostitute
 和龍	hélóng	1. Helong county level city in Yanbian Korean autonomous prefecture 延邊朝鮮族自治州|延边朝鲜族自治州, Jilin
 捲起	juǎnqǐ	1. to roll up;2. to curl up;3. (of dust etc) to swirl up
 鐘	zhōng	1. clock;2. o'clock;3. time as measured in hours and minutes;4. bell;5. CL:架[jia4],座[zuo4]
 嫌棄	xiánqì	1. to avoid sb (out of dislike);2. to turn one's back on sb;3. to ignore
 饞嘴	chánzuǐ	1. gluttonous;2. glutton
 半月	bànyuè	1. half-moon;2. fortnight
 吆喝	yāohe	1. to shout;2. to bawl;3. to yell (to urge on an animal);4. to hawk (one's wares);5. to denounce loudly;6. to shout slogans
 抖動	dǒudòng	1. to tremble
 另	lìng	1. other;2. another;3. separate;4. separately
 聲響	shēngxiǎng	1. sound;2. noise
 點數	diǎnshù	1. to count and check;2. to tally;3. points (collected in some bonus scheme etc)
 名叫	míngjiào	1. called;2. named
 打呵欠	dǎhēqiàn	1. to yawn
 激昂	jīáng	1. impassioned;2. worked up
 從來不	cóngláibù	1. never
 天色	tiānsè	1. color of the sky;2. time of day, as indicated by the color of the sky;3. weather
 唷	yō	1. (interjection expressing surprise) Oh!;2. My!;3. final particle expressing exhortation, admiration etc
 揖	yī	1. to greet by raising clasped hands
 喘	chuǎn	1. to gasp;2. to pant;3. asthma
 不會	bùhuì	1. improbable;2. unlikely;3. will not (act, happen etc);4. not able;5. not having learned to do sth;6. (coll.) (Tw) don't mention it;7. not at all
 逆來順受	nìláishùnshòu	1. to resign oneself to adversity (idiom); to grin and bear it;2. to submit meekly to insults, maltreatment, humiliation etc
 轎子	jiàozi	1. sedan chair;2. palanquin;3. litter
 兒媳	érxí	1. daughter-in-law
 壓	yā	1. to press;2. to push down;3. to keep under (control);4. pressure;5. see 壓根兒|压根儿[ya4 gen1 r5]
 銀元	yínyuán	1. flat silver (former coinage);2. also written 銀圓|银圆;3. silver dollar
 這位	zhèwèi	1. this (person)
 耗子	hàozi	1. (dialect) mouse;2. rat
 妓女	jìnǚ	1. prostitute;2. hooker
 酒	jiǔ	1. wine (esp. rice wine);2. liquor;3. spirits;4. alcoholic beverage;5. CL:杯[bei1],瓶[ping2],罐[guan4],桶[tong3],缸[gang1]
 傳來	chuánlái	1. (of a sound) to come through;2. to be heard;3. (of news) to arrive
 慢悠悠	mànyōuyōu	1. unhurried
 手	shǒu	1. hand;2. (formal) to hold;3. person engaged in certain types of work;4. person skilled in certain types of work;5. personal(ly);6. convenient;7. classifier for skill;8. CL:雙|双[shuang1],隻|只[zhi1]
 每次	měicì	1. every time
 輪	lún	1. wheel;2. disk;3. ring;4. steamship;5. to take turns;6. to rotate;7. by turn;8. classifier for big round objects: disk, or recurring events: round, turn
 得	dé	1. to obtain;2. to get;3. to gain;4. to catch (a disease);5. proper;6. suitable;7. proud;8. contented;9. to allow;10. to permit;11. ready;12. finished;13. structural particle: used after a verb (or adjective as main verb), linking it to following phrase indicating effect, degree, possibility etc;14. to have to;15. must;16. ought to;17. to need to
 滿腹	mǎnfù	1. filled with;2. preoccupied with
 算計	suànjì	1. to reckon;2. to calculate;3. to plan;4. to expect;5. to scheme
 翻動	fāndòng	1. to flip over;2. to turn (a page);3. to scroll (an electronic document);4. to stir (food in a pot etc);5. to move things about;6. to rummage
 活著	huózhù	1. alive
 穿著	chuānzhù	1. attire;2. clothes;3. dress
 沿	yán	1. along;2. to follow (a line, tradition etc);3. to carry on;4. to trim (a border with braid, tape etc);5. border;6. edge
 挖	wā	1. to dig;2. to excavate;3. to scoop out
 摔	shuāi	1. to throw down;2. to fall;3. to drop and break
 將	jiāng	1. will;2. shall;3. to use;4. to take;5. to checkmate;6. just a short while ago;7. (introduces object of main verb, used in the same way as 把[ba3]);8. general;9. commander-in-chief (military);10. king (chess piece);11. to command;12. to lead;13. to desire;14. to invite;15. to request
 村子	cūnzi	1. village
 煙囪	yāncōng	1. chimney
 彩旗	cǎiqí	1. colored flag
 引子	yǐnzi	1. introduction;2. primer;3. opening words
 茶碗	cháwǎn	1. teacup
 農忙	nóngmáng	1. busy farming season
 走進	zǒujìn	1. to enter
 深感	shēngǎn	1. to feel deeply
 帶有	dàiyǒu	1. to have;2. to involve
 千字文	qiānzìwén	1. Thousand Character Classic, 6th century poem used as a traditional reading primer
 嘿嘿	hēihēi	1. (onom.) he he;2. mischievous laughter
 差一點	chàyīdiǎn	1. see 差點|差点[cha4 dian3]
 慢慢	mànmàn	1. slowly
 胡鬧	húnào	1. to act willfully and make a scene;2. to make trouble
 呼哧呼哧	hūchīhūchī	1. (onom.) rapid breathing
 一眼	yīyǎn	1. a glance;2. a quick look;3. a glimpse
 逃之夭夭	táozhīyāoyāo	1. to escape without trace (idiom); to make one's getaway (from the scene of a crime);2. to show a clean pair of heels
 回到	huídào	1. to return to
 暗地	àndì	1. secretly;2. inwardly
 岳父	yuèfù	1. wife's father, father-in-law
 睡	shuì	1. to sleep;2. to lie down
 青筋	qīngjīn	1. veins;2. blue veins
 亮光	liàngguāng	1. light;2. beam of light;3. gleam of light;4. light reflected from an object
 一個個	yīgègè	1. each and every one
 抹	mǒ	1. to wipe;2. to smear;3. to wipe;4. to erase;5. classifier for wisps of cloud, light-beams etc;6. to plaster;7. to go around;8. to skirt
 這個	zhègè	1. this;2. this one
 扯住	chězhù	1. to grasp firmly
 古板	gǔbǎn	1. outmoded;2. old-fashioned;3. inflexible
 私塾	sīshú	1. private school (in former times)
 敗落	bàiluò	1. (of status or wealth) to decline;2. (of buildings etc) to become dilapidated;3. run-down;4. (of plants) to wilt
 貓眼	māoyǎn	1. peephole;2. chrysoberyl
 好好	hǎohǎo	1. well;2. carefully;3. nicely;4. properly
 拉屎	lāshǐ	1. to defecate;2. to shit;3. to crap
 呵欠	hēqiàn	1. yawn
 看上去	kànshàngqù	1. it would appear;2. it seems (that)
 舒坦	shūtǎn	1. comfortable;2. at ease
 雇	gù	1. to employ;2. to hire;3. to rent
 偷聽	tōutīng	1. to eavesdrop;2. to monitor (secretly)
 唰	shuā	1. (onom.) swishing;2. rustling
 其間	qíjiān	1. in between;2. within that interval;3. in the meantime
 蛋	dàn	1. variant of 蜑[Dan4];2. egg;3. CL:個|个[ge4],打[da2];4. oval-shaped thing
 輕輕	qīngqīng	1. lightly;2. softly
 動彈不得	dòngdànbùdé	1. to be unable to move a single step
 珍	zhēn	1. precious thing;2. treasure;3. culinary delicacy;4. rare;5. valuable;6. to value highly
 瓜	guā	1. melon;2. gourd;3. squash
 不是	búshì	1. fault;2. blame;3. no;4. is not;5. not
 嗚嗚	wūwū	1. (interj) boo hoo
 鼻青眼腫	bíqīngyǎnzhǒng	1. a black eye (idiom); serious injury to the face;2. fig. a setback;3. a defeat
 輸掉	shūdiào	1. to lose
 一家	yījiā	1. the whole family;2. the same family;3. the family ... (when preceded by a family name);4. group
 如	rú	1. as;2. as if;3. such as
 自鳴得意	zìmíngdéyì	1. to think highly of oneself
 青天白日	qīngtiānbáirì	1. in broad daylight;2. in the middle of the day;3. KMT emblem, a white sun on a blue background
 半個	bàngè	1. half of sth
 湊	còu	1. to gather together, pool or collect;2. to happen by chance;3. to move close to;4. to exploit an opportunity
 哭聲	kūshēng	1. sound of weeping
 等	děng	1. class;2. rank;3. grade;4. equal to;5. same as;6. to wait for;7. to await;8. et cetera;9. and so on;10. et al. (and other authors);11. after;12. as soon as;13. once
 賭	dǔ	1. to bet;2. to gamble
 吃喝嫖賭	chīhēpiáodǔ	1. to go dining, wining, whoring and gambling;2. to lead a life of dissipation
 樹蔭	shùyīn	1. shade of a tree
 嫖	piáo	1. to visit a prostitute
 時	shí	1. o'clock;2. time;3. when;4. hour;5. season;6. period
 光耀	guāngyào	1. dazzling;2. brilliant
 櫃檯	guìtái	1. sales counter;2. front desk;3. bar;4. (of markets, medicines etc) OTC (over-the-counter)
 鹹菜	xiáncài	1. salted vegetables;2. pickles
 更為	gèngwèi	1. even more
 闊	kuò	1. rich;2. wide;3. broad
 說道	shuōdào	1. to state;2. to say (the quoted words);3. to discuss;4. reason (behind sth)
 收復失地	shōufùshīdì	1. to recover lost territory
 沒趣	méiqù	1. embarrassing;2. dull;3. unsatisfactory
 巴掌	bāzhǎng	1. palm of the hand;2. classifier: slap
 吃喝	chīhē	1. to eat and drink;2. food and drink
 床邊	chuángbiān	1. bedside
 抬起	táiqǐ	1. to lift up
 賒帳	shēzhàng	1. see 賒賬|赊账[she1 zhang4]
 亮出	liàngchū	1. to suddenly reveal;2. to flash (one's ID, a banknote etc)
 闖蕩	chuǎngdàng	1. to leave home to make one's way in the world;2. to leave the life one knows to seek success
 田間	tiánjiān	1. field;2. farm;3. farming area;4. village
 左	zuǒ	1. left;2. the Left (politics);3. east;4. unorthodox;5. queer;6. wrong;7. differing;8. opposite;9. variant of 佐[zuo3]
 釘	dīng	1. nail;2. to follow closely;3. to keep at sb (to do sth);4. variant of 盯[ding1];5. to join things together by fixing them in place at one or more points;6. to nail;7. to pin;8. to staple;9. to sew on
