愛戴	àidài	love and respect
歸納	guīnà	sum up, conclude, induce
規則	guīzé	regular, fixed
軌道	guǐdào	track, orbit, trajectory, course, path
鬼怪	guǐguài	evil_spirit, jinni, spirit, sprite, spectre, supernatural being, monsters of all kind, forces of evil, genie, spiritual being, phantom, ghost and monsters, bugaboo, presence
貴賓	guìbīn	honored/ distinguished guest
棍子	gùnzi	rod, stick
國產	guóchǎn	make domestically
國防	guófáng	national defense
國境	guójìng	national territory
國君	guójūn	monarch
國營	guóyíng	state operated/ run
果斷	guǒduàn	determined, resolute
果實	guǒshí	fruit, gains, fruits
果樹	guǒshù	fruit tree
果真	guǒzhēn	really, as expected
過關	guòguān	pass barrier, go through ordeal, pass test, reach standard
過量	guòliàng	overkill, overrun, overdo
過敏	guòmǐn	have allergy
過目	guòmù	look over list/ etc. so as to check/ approve
過人	guòrén	excel, surpass, surpass others
過失	guòshī	fault, slip, error, unpremeditated crime
過癮	guòyǐn	satisfy craving, enjoy oneself to the fullest
過重	guòzhòng	overbalance
海拔	hǎibá	elevation, height above sea level
海面	hǎimiàn	sea level
海運	hǎiyùn	sea transportation, ocean shipping
害蟲	hàichóng	pest
行號	hánghào	registered company
行列	hángliè	ranks, procession
航行	hángxíng	sail, fly
毫不	háobù	not at all
好比	hǎobǐ	can be compared to, may be likened to, be just like
好手	hǎoshǒu	good hand, expert, professional
好受	hǎoshòu	pleasurable, comfortable, feeling good
好學	hàoxué	be fond of learning, be eager to learn
號子	hàozi	registered stock company
合併	hébìng	merge, amalgamate
核定	hédìng	check and ratify, appraise and decide
核對	héduì	check figures/ proof
和解	héjiě	become reconciled
和睦	hémù	harmony; concord; amicability
核算	hésuàn	examine and calculate, assess, check
合同	hétóng	contract
和諧	héxié	harmonious, concordant
合意	héyì	be to one's liking, pleasing, be to one's taste, suit
合約	héyuē	treaty, contract
何在	hézài	where?,what place?
核准	hézhǔn	check and approve, ratify
核子	hézǐ	nucleon
狠心	hěnxīn	cruel
衡量	héngliáng	weigh, measure, judge
轟動	hōngdòng	make a sensation, stir
紅利	hónglì	[Commerce] an extra dividend; a bonus; a profit
紅燒	hóngshāo	braise in soy sauce
洪水	hóngshuǐ	flood, floodwater
宏偉	hóngwěi	magnificent, grand
呼籲	hūyù	appeal to
蝴蝶	húdié	butterfly
胡亂	húluàn	carelessly, casually
狐疑	húyí	be suspicious
互補	hùbǔ	help each other, complement
互惠	hùhuì	reciprocity
戶口	hùkǒu	number of households and total population, registered permanent residence
花瓣	huābàn	flower petal
花朵	huāduǒ	flower
花卉	huāhuì	flowering plant, painting of flowers/ plants
花紋	huāwén	decorative pattern, figure, wood grain
花樣	huāyàng	pattern, variety
華人	huárén	Ch. people
華裔	huáyì	foreign citizen of Ch. origin
化工	huàgōng	chemical industry
話劇	huàjù	modern drama, stage play
畫面	huàmiàn	general appearance of a picture, tableau, frame, TV screen
化石	huàshí	fossil
畫展	huàzhǎn	art/ paintings exhibition
懷念	huáiniàn	cherish memory of, think of
懷疑	huáiyí	suspect, doubt
歡送	huānsòng	see/ send off
換取	huànqǔ	exchange sth. for, get in return
幻象	huànxiàng	mirage, phantom, phantasm
患者	huànzhě	sufferer, patient
荒唐	huāngtáng	1absurd; fantastic; preposterous 2dissipated; loose; intemperate
慌張	huāngzhāng	hurry, hustle, nervous, flustered, fidget, fluster, flurried
惶恐	huángkǒng	terrified
恍惚	huǎnghū	illusory, elusive
灰塵	huīchén	dust, dirt
輝煌	huīhuáng	brilliant, glorious
回合	huíhé	round, bout, encounter
回絕	huíjué	decline, refuse
回升	huíshēng	rise again after a fall, pick up
悔恨	huǐhèn	regret deeply
毀損	huǐsǔn	damage, impair
繪畫	huìhuà	painting
會見	huìjiàn	meet/ see visitors
賄賂	huìlù	bribe
匯票	huìpiào	draft, bill of exchange, money order
會談	huìtán	talk
彗星	huìxīng	comet
會意	huìyì	understand, comprehend, know
渾身	húnshēn	from head to foot, all over
混淆	hùnyáo	blur, confuse, mix up
混濁	hùnzhuó	turbid, muddy
活兒	huóér	product, dinkum, work
活期	huóqí	current
伙伴	huǒbàn	partner, companion
火箭	huǒjiàn	rocket
火力	huǒlì	firepower
火焰	huǒyàn	flame
火藥	huǒyào	gunpowder
貨幣	huòbì	money, currency
豁達	huòdá	open-minded
貨品	huòpǐn	types of goods/ product
基層	jīcéng	grass-roots unit, basic/ primary level
基地	jīdì	base
機動	jīdòng	power-driven, motorized, flexible, in reserve for emergency use, mobile
基督	jīdū	Christ
飢餓	jīè	starve
肌膚	jīfū	skin
機警	jījǐng	alert
機率	jīlǜ	probability
機密	jīmì	top secret;classified information
畸形	jīxíng	1 deformity; 2 abnormal
基因	jīyīn	gene
機制	jīzhì	mechanism, way, measure
激增	jīzēng	increase sharply, soar
嫉妒	jídù	be jealous of, envy, hate
極端	jíduān	extremeness
極端	jíduān	extreme, exceeding
籍貫	jíguàn	native/ birth place
集合	jíhé	a set, a class
集結	jíjié	mass, concentrate, build up
急救	jíjiù	first aid, emergency treatment
極力	jílì	doing one's utmost, sparing no effort
吉利	jílì	lucky, auspicious, good fortune
擊落	jíluò	shoot down
汲取	jíqǔ	draw, derive
集權	jíquán	centralization
即日	jírì	this or that very day
即時	jíshí	immediately, forthwith
集體	jítǐ	collective
集團	jítuán	group, clique, circle, bloc
極為	jíwéi	extremely, exceedingly
吉祥	jíxiáng	auspicious
及早	jízǎo	at an early date, as soon as possible
急躁	jízào	anxious, tingle
急診	jízhěn	emergency treatment
繼承	jìchéng	inherit, carry on
季風	jìfēng	monsoon
劑量	jìliàng	dosage, dose
紀律	jìlǜ	discipline, morale, laws and regulations
技能	jìnéng	technical ability, mastery of a skill/ technique
祭祀	jìsì	offer sacrifices to gods/ ancestors
技藝	jìyì	skill, artistry, craft, mechanical arts
家電	jiādiàn	household electrical appliances
傢伙	jiāhuo	guy, fellow, son-of-a-bitch
佳節	jiājié	joyful festival
加緊	jiājǐn	speed up, intensify
加快	jiākuài	speed up, accelerate
佳人	jiārén	beautiful woman
枷鎖	jiāsuǒ	yoke, chains, fetters, shackles
加上	jiāshàng	in addition to
家屬	jiāshǔ	family members/ dependents
加薪	jiāxīn	raise pay, increase sb.'s wages, raise sb.'s wages
加以	jiāyǐ	in addition to
加重	jiāzhòng	make/ become heavier, make/ become more serious, aggravate
夾雜	jiázá	be mixed up or mingled with
假若	jiǎruò	if, supposing, in case
假使	jiǎshǐ	if, in case, in the event that
假象	jiǎxiàng	semblance, appearance, pseudomorph
架構	jiàgòu	construction, framework
假期	jiàqí	vacation, holiday
架子	jiàzi	frame, stand, rack, shelf, framework, skeleton, outline, stance
監督	jiāndū	supervise, superintend, control
尖端	jiānduān	most advanced, sophisticated
堅固	jiāngù	firm, solid, sturdy
艱鉅	jiānjù	herculean task, difficult to surmount
艱苦	jiānkǔ	arduous
艱難	jiānnán	difficult, hard
堅忍	jiānrěn	steadfast and persevering in face of difficulties, long-suffering
監視	jiānshì	keep watch on, keep lookout over
堅信	jiānxìn	believe firmly
堅硬	jiānyìng	hard and solid, firm, rigid, stiff, stony
兼職	jiānzhí	hold two or more posts concurrently
簡便	jiǎnbiàn	be efficient and convenient
簡稱	jiǎnchēng	be called sth. for short
簡化	jiǎnhuà	simplify
檢討	jiǎntǎo	discuss thoroughly, self-criticize
建國	jiànguó	found or build up a state
見解	jiànjiě	view, opinion, understanding
健身	jiànshēn	keep fit, exercise
見識	jiànshì	widen one's knowledge/ experience
建造	jiànzào	build, construct, make
見證	jiànzhèng	see with one's own eyes
健壯	jiànzhuàng	be healthy and strong, beefy, robust, sturdy
將軍	jiāngjūn	high-rank officer, general
講理	jiǎnglǐ	argue, reason, be reasonable, reasonable, listen to reason, argument
獎勵	jiǎnglì	encourage and reward, award
獎賞	jiǎngshǎng	reward, premium, reinforcement, meed, prix, purse, guerdon
講習	jiǎngxí	lecture and study
講義	jiǎngyì	mimeographed/ printed teaching materials, class handouts, commentaries on classics
講座	jiǎngzuò	course of lectures, professorship, chair
獎狀	jiǎngzhuàng	certificate of merit
交錯	jiāocuò	interlock, crisscross
交貨	jiāohuò	deliver goods
交集	jiāojí	product, union, sum, join, intersection
焦急	jiāojí	anxious, nettle, peeve, worried, vex, fuss, fretful
交情	jiāoqíng	friendship, friendly relations
交涉	jiāoshè	negotiate, make representations
交談	jiāotán	converse, chat
腳本	jiǎoběn	script, scenario
攪和	jiǎohuo	mingle, mixture, blend, stir, mix, spoil, mess up
轎車	jiàochē	car
教官	jiàoguān	schoolmaster, instructor, military instructor
叫好	jiàohǎo	applaud, shout "Bravo!"
教化	jiàohuà	enlighten people by education
教誨	jiàohuǐ	teaching, instruction, admonition
較量	jiàoliàng	argue, have a trial of strength, have trial of strength, dispute, have trial of skill, have a contest, stack_up, haggle, contest, have a test of strength, measure one's strength with
教徒	jiàotú	believer/ follower of a religion
教員	jiàoyuán	teacher, instructor
階層	jiēcéng	social stratum
街坊	jiēfāng	neighbors, neighborhood
接管	jiēguǎn	take over management
階級	jiējí	social class
接連	jiēlián	in a row, in succession
揭幕	jiēmù	inauguration, undrape, prologize, unveil, kick off, inaugurate
接納	jiēnà	accept
接洽	jiēqià	take up a matter with, arrange business/ etc. with
揭曉	jiēxiǎo	announce, publish
潔白	jiébái	pure
節儉	jiéjiǎn	scrimp, economize, thrifty, husband, frugal, stint, retrench, pinch
竭力	jiélì	try one's best
節慶	jiéqìng	festival
結實	jiéshí	strong, solid, durable
結業	jiéyè	graduate
結緣	jiéyuán	form ties
解答	jiědá	answer
解放	jiěfàng	liberate, emancipate
解渴	jiěkě	to quench thirst; to allay one's thirst; to assuage one's thirst; to relieve 
解剖	jiěpǒu	dissect
解說	jiěshuō	explain orally, appease
解體	jiětǐ	disintegrate
解脫	jiětuō	free extricate oneself, release from worldly cares
解約	jiěyuē	free, terminate an agreement, discharge
戒備	jièbèi	guard, take precautions
借貸	jièdài	borrow/ lend money, debit and credit sides
藉口	jièkǒu	excuse, pretext
介入	jièrù	intervene, interpose, get involved
屆時	jièshí	at appointed time, on the occasion
金錢	jīnqián	money, wealth
津貼	jīntiē	subsidy, allowance
金魚	jīnyú	goldfish
緊湊	jǐncòu	compact; tight; terse; well-knit
緊密	jǐnmì	close together, inseparable, rapid and intense
緊縮	jǐnsuō	reduce, retrench
謹慎	jǐnshèn	cautious, circumspect
進場	jìnchǎng	march into arena
近代	jìndài	modern times
進度	jìndù	rate of advance, planned speed, schedule
勁兒	jìner	physical strength, force
進而	jìnér	proceeding to the next step
進攻	jìngōng	attack, assault
進化	jìnhuà	evolve
晉級	jìnjí	rise in rank, be promoted
進軍	jìnjūn	march, advance as of troops
盡力	jìnlì	try one's best
禁令	jìnlìng	prohibition, ban
進修	jìnxiū	engage in advanced studies, take refresher course
進展	jìnzhǎn	make progress/ headway
經典	jīngdiǎn	classics, scriptures
精光	jīngguāng	stark naked
精華	jīnghuá	cream, quintessence
驚惶	jīnghuáng	become alarmed/ panic-stricken
經濟	jīngjì	economical, thrifty, of economic value
京劇	jīngjù	Beijing opera
精明	jīngmíng	astute, shrewd
驚奇	jīngqí	wonder, be surprised/ amazed
精髓	jīngsuǐ	marrow, pith, quintessence
經書	jīngshū	Confucian classics
驚喜	jīngxǐ	be pleasantly surprised
驚險	jīngxiǎn	breathtaking
鯨魚	jīngyú	whale
精緻	jīngzhì	fine, exquisite, delicate
警報	jǐngbào	alarm, warning, alert
景觀	jǐngguān	landscape
警覺	jǐngjué	awake
景氣	jǐngqì	prosperity, boom
警惕	jǐngtì	be extra cautious, alert
警衛	jǐngwèi	security guard
景物	jǐngwù	scenery
景象	jǐngxiàng	scene, sight, picture, prospects
境地	jìngdì	condition, circumstances
敬佩	jìngpèi	esteem, admire
竟然	jìngrán	unexpectedly, to one's surprise
競賽	jìngsài	compete, contest
競選	jìngxuǎn	campaign for office, run for
糾紛	jiūfēn	complication, dustup, entanglement, tangle
酒店	jiǔdiàn	wineshop, public house
酒館	jiǔguǎn	tavern
酒精	jiǔjīng	ethyl alcohol
舅父	jiùfù	mother's brother, uncle
救濟	jiùjì	relieve, succor
就緒	jiùxù	be in order, be ready
救援	jiùyuán	rescue, come to sb.'s help
局部	júbù	part
局面	júmiàn	aspect, phase, situation
舉例	jǔlì	give an example
沮喪	jǔsàng	depressed, disheartened
舉止	jǔzhǐ	bearing, manner, mien
舉重	jǔzhòng	weight lifting, lift weights
聚餐	jùcān	mess, split, have dinner party, have a dinner party, dine together
俱全	jùquán	complete in all varieties
巨人	jùrén	giant, colossus
據悉	jùxī	it is reported that...
捐獻	juānxiàn	contribute to organization
捐贈	juānzèng	contribute as gift, donate, present
絕跡	juéjī	die out, disappearance, die out, go away, die off, vanish, be stamped out, disappear
決賽	juésài	finals
決議	juéyì	resolution
抉擇	juézé	choice
軍備	jūnbèi	armament, arms
軍閥	jūnfá	warlord
軍官	jūnguān	officer
均衡	jūnhéng	balance
軍艦	jūnjiàn	warship, naval vessel
均勻	jūnyún	even, well-distributed
卡通	kǎtōng	cartoon
開辦	kāibàn	open, set up, start business/ etc.
開導	kāidǎo	to explain and convince
開動	kāidòng	to start; to set in motion; to operate; to work 
開飯	kāifàn	serve meal, serve a meal
開放	kāifàng	open
開口	kāikǒu	start to talk, speak
開闊	kāikuò	widen
開路	kāilù	open circuit, blaze a trail, blaze trail, cleave, open a way, pioneer, open way, lead way
開幕	kāimù	open, inaugurate meeting/ etc.,raise curtain
開盤	kāipán	give the opening quotation
開闢	kāipì	open/ set up, start, build road
開啟	kāiqǐ	open
開銷	kāixiāo	expense
開業	kāiyè	institute, open a private practice, practicing, establish, start business
開展	kāizhǎn	develop, launch, unfold
開張	kāizhāng	open up, open, open a business, auspicate, the first transaction of a day's business, begin doing business, first transaction of day
刊登	kāndēng	publish in periodical
看守	kānshǒu	watch, guard
刊物	kānwù	publication, periodical
康復	kāngfù	restore to health, recover
慷慨	kāngkǎi	be generous/ liberal/ unselfish
抗爭	kàngzhēng	make stand against, resist
考場	kǎochǎng	examination hall/ room
考古	kǎogǔ	engage in archaeological studies
考生	kǎoshēng	examinee
考驗	kǎoyàn	test
科幻	kēhuàn	scientific and fictional
苛責	kēzé	excoriate
可觀	kěguān	considerable, sizable
可見	kějiàn	it is thus evident that
可望	kěwàng	has been expected
可行	kěxíng	feasible
刻薄	kèbó	mean, ungenerous, carping, harsh
客機	kèjī	aircraft
刻苦	kèkǔ	hard-working, self-sacrificing
課業	kèyè	lessons, schoolwork
刻意	kèyì	conscious, purposely, painstakingly, sedulously
克制	kèzhì	restrain, exercise restraint
吭聲	kēngshēng	utter a word, utter a sound
空曠	kōngkuàng	open, wide, spacious
空難	kōngnàn	airplane disaster
空談	kōngtán	prattle
空運	kōngyùn	air transport
恐嚇	kǒnghè	threaten, intimidate
恐懼	kǒngjù	fear, dread
口頭	kǒutóu	in words
口吻	kǒuwěn	muzzle, snout, tone of voice, note revealing attitude
扣除	kòuchú	deduct
快活	kuàihuó	happy, cheerful
狂風	kuángfēng	gale force wind
狂妄	kuángwàng	wild, presumptuous, arrogant
昆蟲	kūnchóng	insect
困境	kùnjìng	difficult position, predicament, straits
困擾	kùnrǎo	perplex, puzzle
苦工	kǔgōng	hard manual work
苦難	kǔnàn	suffering, misery, distress
苦惱	kǔnǎo	vexed, worried
苦衷	kǔzhōng	buttoned-up pain, difficulty that is hard to say
庫存	kùcún	stock, reserve
誇耀	kuāyào	parade, boastful, brag, boast, swank, pique, overcrow, glory
跨越	kuàyuè	stride across, leap over
寬廣	kuānguǎng	broad, extensive, vast
寬闊	kuānkuò	broad, spacious
款待	kuǎndài	treat cordially, entertain
款式	kuǎnshì	pattern, style, design
礦產	kuàngchǎn	mineral products, minerals
擴建	kuòjiàn	extend factory/ mine/ etc.
擴散	kuòsàn	diffuse, proliferate
擴張	kuòzhāng	expand, enlarge, extend, dilate
拉票	lāpiào	ballot, canvass, solicit votes
臘月	làyuè	12th lunar month/ moon
來賓	láibīn	guest, visitor
來得	láide	emerge from a comparison as, come out as
來客	láikè	guest, visitor
懶惰	lǎnduò	lazy
懶散	lǎnsàn	laze, laze about, laze around, indolent
濫用	lànyòng	abuse, misuse
朗讀	lǎngdú	read aloud, read loudly and clearly
朗誦	lǎngsòng	read aloud with expression, declaim
勞改	láogǎi	to reform through labor
勞累	láolèi	tire sb.
老年	lǎonián	old age
老鼠	lǎoshǔ	mouse, rat
老鄉	lǎoxiāng	fellow villager, friendly address for male villager, country bumpkin
老子	lǎozi	father
勒索	lèsuǒ	extort, blackmail
雷達	léidá	radar
雷同	léitóng	duplicate, similar, duplication
累積	lěijī	accumulate
類似	lèisì	be similar to
類型	lèixíng	type
冷凍	lěngdòng	freeze
冷汗	lěnghàn	cold sweat
冷門	lěngmén	not in popular
冷清	lěngqīng	solitary
黎明	límíng	dawn, daybreak
罹難	línàn	die in disaster, die in accident, die in a disaster, die in an accident, be murdered
理財	lǐcái	manage money matters
里程	lǐchéng	mileage
禮服	lǐfú	ceremonial robe/ dress, formal attire
禮節	lǐjié	etiquette, protocol, ceremony
理論	lǐlùn	argue
禮貌	lǐmào	have good manners, polite
理性	lǐxìng	rational
理學	lǐxué	natural science
理智	lǐzhì	rational, sagacious, wise
例外	lìwài	excepted
利弊	lìbì	pros and cons
立國	lìguó	found a state, build up a nation
立即	lìjí	immediate, prompt
歷屆	lìjiè	all previous sessions, etc.
歷來	lìlái	in times gone by; since the earliest days
利率	lìlǜ	interest rate
歷年	lìnián	over the years, calendar year
力求	lìqiú	do one's best to, strive for
立體	lìtǐ	three-dimensional, stereoscopic
力行	lìxíng	practice/ perform energetically, act with force
力學	lìxué	mechanics
連帶	liándài	connected
廉價	liánjià	low-priced, cheap
廉潔	liánjié	incorruptible, upright
連結	liánjié	join, link
聯盟	liánméng	alliance, coalition, league, union
連任	liánrèn	renew one's term of office
聯繫	liánxì	integrate, relate, link, get in touch with
連線	liánxiàn	connect
聯想	liánxiǎng	associate, connect in one's mind
臉龐	liǎnpáng	face
臉譜	liǎnpǔ	theatrical makeup
良機	liángjī	good/ golden opportunity
兩極	liǎngjí	the two poles of the earth or a magnet/ battery
遼闊	liáokuò	vast, extensive
列車	lièchē	train
列國	lièguó	various countries
獵人	lièrén	hunter
列入	lièrù	be listed/ placed
烈士	lièshì	martyr, person of high endeavor
臨床	línchuáng	clinical
鄰里	línlǐ	neighborhood, neighbors
靈感	línggǎn	inspiration
靈驗	língyàn	efficient, effective
領隊	lǐngduì	leader of a group/ team/ etc.
領會	lǐnghuì	understand, comprehend, grasp
領悟	lǐngwù	comprehend, grasp
溜冰	liūbīng	ice-skate, skating, ice skate, roller-skate, roller-skating, rink, roller skate, skate
流程	liúchéng	manufacturing/ technological process/ workflow, course of river/ etc.
流傳	liúchuán	spread, circulate, hand down
流落	liúluò	wander about destitute
流氓	liúmáng	hoodlum, hooligan, gangster
流失	liúshī	run off, be washed away
流水	liúshuǐ	flowing/ running water
流通	liútōng	circulate
流星	liúxīng	shooting star, meteor
流域	liúyù	valley, river basin, drainage area
柳樹	liǔshù	willow tree
籠子	lóngzi	large box/ chest, trunk
籠罩	lóngzhào	envelop, shroud
壟斷	lǒngduàn	monopolize
樓房	lóufáng	building of two or more stories
旅費	lǚfèi	travelling expenses
履歷	lǚlì	curriculum vitae, antecedents
旅途	lǚtú	journey, trip, route
履行	lǚxíng	perform, fulfill, carry out
爐子	lúzi	stove, oven, furnace
陸地	lùdì	dry land
路過	lùguò	pass by/ through a place
露天	lùtiān	in the open air, outdoors
錄影	lùyǐng	video-tape
輪廓	lúnkuò	outline, contour, rough sketch
倫理	lúnlǐ	ethics, moral principles
淪陷	lúnxiàn	fall into enemy hands
論點	lùndiǎn	argument, thesis
囉嗦	lōusuō	yak, bothersome
邏輯	luójí	logic
落得	luòde	get, end/ result in
落魄	luòtuò	sink, abject
駱駝	luòtuo	camel
落選	luòxuǎn	wash out, lose an election, fail to be elected
麻醉	mázuì	anesthesize, poison, drug
埋伏	máifú	hide, lie low
買賣	mǎimài	buying and selling, business deal/ transaction, small merchant enterprise
買主	mǎizhǔ	buyer, customer
邁進	màijìn	stride forward
麥子	màizi	wheat
賣座	màizuò	draw large attendance, draw
蠻橫	mánhèng	arrogant
滿懷	mǎnhuái	be imbued with, all pregnant with young of a flock of sheep/ etc.
漫長	màncháng	very long, endless
蔓延	mànyán	spread out, extend
盲從	mángcóng	follow blindly
芒果	mángguǒ	mango
茫然	mángrán	ignorant, in the dark
盲人	mángrén	blind person
毛毯	máotǎn	woollen blanket
茂密	màomì	dense, thick of vegetation
冒險	màoxiǎn	take risks/ chances
眉毛	méimáo	eyebrow, brow
媒體	méitǐ	media
眉頭	méitóu	brows
美滿	měimǎn	happy, harmonious of a family
每每	měiměi	often, invariably
悶熱	mēnrè	swelter
門戶	ménhù	door, strategic gateway, faction, sect, family status
猛烈	měngliè	fierce, rabid
夢見	mèngjiàn	dream about sb./ sth.
夢想	mèngxiǎng	dream of, vainly hope
彌補	míbǔ	make up, remedy, make good
迷宮	mígōng	labyrinth, maze
迷惑	míhuò	puzzle, confuse, baffle
迷戀	míliàn	be enamored with, be infatuated with
謎語	míyǔ	riddle, conundrum
密集	mìjí	concentrated, crowded together
綿延	miányán	be continuous, stretch long and unbroken
勉強	miǎnqiǎng	force sb. to do sth.
免稅	miǎnshuì	duty-free
免疫	miǎnyì	immune
面孔	miànkǒng	face
面談	miàntán	discuss face to face
描繪	miáohuì	depict, describe, portray
民俗	mínsú	folk custom, folkways
民謠	mínyáo	folk songs/ rhymes
民營	mínyíng	privately run of enterprises
民眾	mínzhòng	the masses
敏感	mǐngǎn	be sensitive, susceptible
敏捷	mǐnjié	nimble, agile
明白	míngbái	clearly
名額	míngé	quota of people
名號	mínghào	name
明理	mínglǐ	reasonable
名氣	míngqì	reputation, fame, name
明日	míngrì	tomorrow, the near future
名聲	míngshēng	reputation, repute, renown
名勝	míngshèng	place famous for its scenery or historical relics, scenic spot
名堂	míngtáng	name, designation, result, achievement, activity, reason, variety of events in a show/ etc.
名下	míngxià	under sb's name
冥想	míngxiǎng	contemplate, meditate, muse, deep thought, meditation
明智	míngzhì	judicious
命名	mìngmíng	name sb./ sth.
命中	mìngzhòng	hit target/ mark
模範	mófàn	exemplary person/ thing; model, mold for casting bronze
模具	mójù	mold, die
模式	móshì	model, pattern
魔術	móshù	magic, conjuring, sleight of hand
沒落	mòluò	decline, wane
默默	mòmò	quietly, silently
末期	mòqí	last/ final phase/ stage
默契	mòqì	tacit/ secret agreement
漠視	mòshì	treat as unimportant, ignore
沒收	mòshōu	confiscate, expropriate
謀生	móushēng	seek livelihood
某些	mǒuxiē	some
木材	mùcái	wood; timbering; timber; lumber
牧場	mùchǎng	grazing land, pasture
目睹	mùdǔ	to witness, see with one's own eyes
目光	mùguāng	sight, vision, view, gaze, look
目擊	mùjí	to witness, see with one's own eyes
募集	mùjí	to raise; to collect 
木刻	mùkē	woodcut, wood engraving
木料	mùliào	timber, lumber
木偶	mùǒu	wooden figure; a blocehead, puppet
沐浴	mùyù	have/ take a bath, bathe, immerse
納悶	nàmèn	wonder
納入	nàrù	to subsume, to bring into, to fit into, to intake
納稅	nàshuì	pay taxes
耐力	nàilì	endurance, stamina
難度	nándù	degree of difficulty
男方	nánfāng	husband's side, bridegroom's side, the bridegroom's or husband's side
難關	nánguān	difficulty, crisis
難免	nánmiǎn	incidental
難題	nántí	difficult problem, sticker, poser
難以	nányǐ	be difficult to
難民	nànmín	refugee
囊括	nángguā	include, embrace
腦海	nǎohǎi	brain, mind
腦力	nǎolì	brains, mental capability
內閣	nèigé	cabinet
內涵	nèihán	intention, connotation
內銷	nèixiāo	sell in domestic market
內戰	nèizhàn	civil war
內政	nèizhèng	domestic affairs
能量	néngliàng	energy, capabilities
擬定	nǐdìng	formulate, conjecture
念頭	niàntou	thought, idea, intention
娘家	niángjiā	married woman's parents' home
凝固	nínggù	solidify
凝結	níngjié	coagulate, congeal, condense
凝聚	níngjù	condense of vapor, coalesce, concentrate
凝視	níngshì	gaze fixedly, stare
扭轉	niǔzhuǎn	turn round/ back, reverse, remedy a situation
農場	nóngchǎng	farm
農具	nóngjù	farm implements
農田	nóngtián	farmland, cropland
弄錯	nòngcuò	misunderstand
弄壞	nònghuài	maim, go, put out of order, mar, fail, poison, bitch, mess, stultify, bedevil, give way, die, wear, bust, conk out, go bad, ruin, fall apart, give out, murder, spoil, kayo, break down, break, vitiate, wear out
女方	nǚfāng	groom’s, bride's side
女性	nǚxìng	female sex, woman
虐待	nüèdài	maltreat, tyrannize, abuse
奴隸	núlì	slave
怒氣	nùqì	wrath, anger, rage, fury
懦弱	nuòruò	fainthearted
諾言	nuòyán	promise, consent
偶然	ǒurán	fortuitous, chance
拍攝	pāishè	take picture, shoot film
拍子	pāizi	[Music] a beat; time; the type of rhythm; a tempo
拍照	pāizhào	take picture, shoot film
排除	páichú	get rid of, remove, eliminate
排擠	páijǐ	push aside, push/ elbow out
排名	páimíng	put names in order
派遣	pàiqiǎn	send, dispatch
派頭	pàitóu	style, manner
旁人	pángrén	other people
旁聽	pángtīng	audit a class
拋棄	pāoqì	abandon, forsake, cast aside
跑道	pǎodào	runway, track
泡沫	pàomò	foam, froth
培訓	péixùn	cultivate, train
培育	péiyù	cultivate, foster, breed
噴漆	pēnqī	spray lacquer, spray paint
盆地	péndì	basin
蓬勃	péngbó	vigorous, flourishing
捧場	pěngchǎng	1to act as a claque member 2to sing the praises of; to flatter 
佩服	pèifú	admire
配給	pèijǐ	ration
配音	pèiyīn	dub, lip-sync
批發	pīfā	wholesale
批准	pīzhǔn	ratify, approve, sanction
疲憊	píbèi	tired-out, exhausted
譬如	pìrú	for example, such as
偏差	piānchā	deviation, error
便宜	piányí	advantage
便宜	piányí	let sb. off lightly
片刻	piànkè	short while, moment
貧苦	pínkǔ	poor, impoverished
貧民	pínmín	poor people, pauper
品味	pǐnwèi	savor, taste
品種	pǐnzhǒng	breed, variety, assortment
平凡	píngfán	ordinary, common
評估	pínggū	estimate, evaluate
評價	píngjià	evaluation
評論	pínglùn	comment on, discuss
平面	píngmiàn	plane
平穩	píngwěn	smooth, steady, even
平行	píngxíng	of equal rank, parallel, simultaneous
婆家	pójiā	husband's family
破案	pòàn	solve, solve a case, crack a criminal case, solve criminal case
破產	pòchǎn	go bankrupt, come to naught
破除	pòchú	do away with
迫害	pòhài	persecute
破獲	pòhuò	unearth, uncover
破例	pòlì	make an exception, make exception, break rule, break a rule
魄力	pòlì	boldness, audacity, daring resolution
破碎	pòsuì	smash sth. to pieces
樸素	púsù	simple, unadorned
曝光	pùguāng	expose
暴露	pùlù	reveal, lay bare
淒涼	qīliáng	desolate, dreary
欺侮	qīwǔ	bully, humiliate
奇觀	qíguān	spectacular sight, wonder
期貨	qíhuò	goods to be delivered at specific time, futures
奇蹟	qíjī	miracle, wonder, marvel
奇妙	qímiào	wonderful, marvelous
期末	qímò	end of semester/ quarter
期望	qíwàng	to hope; to expect; to anticipate
奇異	qíyì	strange, queer, bizarre, odd
旗幟	qízhì	banner, flag, rallying point, stand
起步	qǐbù	start a task
啟發	qǐfā	enlighten, stimulate
起伏	qǐfú	rise and fall, undulate
乞丐	qǐgài	beggar
起碼	qǐmǎ	at least
啟事	qǐshì	notice, announcement
啟示	qǐshì	apocalypse, illumination, revelation
起源	qǐyuán	origin
氣概	qìgài	mettle, spirit
氣管	qìguǎn	windpipe, trachea
契機	qìjī	juncture, turning/ critical point
氣派	qìpài	dignified
棄權	qìquán	waive/ forfeit one's right, abstain from voting
氣勢	qìshì	vigour, verve, manner, air
氣體	qìtǐ	air, gas
氣壓	qìyā	atmospheric pressure
恰當	qiàdàng	appropriate, proper, suitable, fitting
恰好	qiàhǎo	exactly, just right
恰恰	qiàqià	coincidentally, exactly
